model,portfolio_type,size_quintile,factor_quintile,n_obs,alpha,t_alpha,p_alpha,r_squared,adj_r_squared,beta_MKT_RF,t_MKT_RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA
FF5_baseline,size_bm,1,1,11,-0.03365683646539769,-3.4776583613075616,0.0005058141639170009,0.850593840009821,0.7011876800196419,0.8900143107653512,5.056495896232818,0.7267913754396942,4.930561995308666,0.08405323633537898,0.5919572312876108,0.44153492003599665,6.602372841642362,-0.6629460191111238,-2.5952624229231476
FF5_baseline,size_bm,1,2,11,0.0285634404687559,1.9165933057520752,0.055289619131538646,0.8204703856003586,0.6409407712007171,1.3046489178651026,12.882806297778124,0.4427410908342354,1.1781919628193713,0.4822228422876526,3.061863325181956,0.026354590096897248,0.3091380459361349,0.692757158764407,1.297400801377033
FF5_baseline,size_bm,1,3,11,0.015217817781135722,2.083359320539482,0.0372184833236655,0.9157791563712295,0.8315583127424591,1.2358529159149083,16.34015744116988,1.026897734652803,4.929988627324931,0.2352355125691511,1.881593771907692,-0.010323580097513399,-0.1664444883436498,1.1281221865077837,5.612920061425194
FF5_baseline,size_bm,1,4,11,0.00888004387182309,1.6554438763214003,0.09783449204610545,0.9691117719200214,0.9382235438400428,1.2375377208256741,21.927303983882823,1.2676753655544024,8.599345635736748,0.45118848126630173,5.548303382542095,0.04152546192296834,1.1325302709754002,1.2742756304215104,10.16289014628951
FF5_baseline,size_bm,1,5,11,-0.00783070744250029,-0.8403029486290189,0.40073854858802926,0.9686270507406837,0.9372541014813673,1.0819685248072437,16.013808354299034,0.7387315259771261,11.518011770452805,0.7197386178871372,10.531397174536657,0.29356735697479497,6.882009501757853,1.1317776331340845,8.293932961549743
FF5_baseline,size_bm,2,1,11,-0.042249593414531134,-0.7267694536966858,0.4673671984427342,0.6507450630717382,0.30149012614347637,0.77431762446598,1.8477559639356171,0.5754108233789365,1.4025882026295808,-1.1751464308364674,-1.6729986390356555,-0.03683623293043781,-0.08977825515724093,0.9309418229727876,0.710329351989808
FF5_baseline,size_bm,2,2,11,0.0039392242942557654,0.5019329236530725,0.61571470498414,0.9807832552877191,0.9615665105754383,1.142379588739421,20.67061450147082,0.29234674333735505,3.0874312793616356,-0.40209517667210337,-6.163893852161789,-0.06251945955285096,-1.6092649484943227,0.6463899361633401,4.572248911311826
FF5_baseline,size_bm,2,3,11,0.004362177389274247,0.48064551221257734,0.6307684629885402,0.9454008674661433,0.8908017349322865,1.1926309842233347,19.09706203231787,0.2922938762652126,3.2634250365742887,0.1523365553006196,2.390477739120904,-0.04986622488918607,-0.9383062225754023,-0.14488438965405503,-0.969350361318084
FF5_baseline,size_bm,2,4,11,0.008545747331125168,2.798810582783463,0.005129121594685771,0.9801390241041825,0.960278048208365,1.2151711419565054,34.58097138263022,0.23876753072407264,2.6951109779204914,0.5730416120102778,15.417851003912244,-0.04347620015342929,-1.51606548130281,-0.11881111181140491,-0.7177094078787949
FF5_baseline,size_bm,2,5,11,0.003861972979164019,1.2702684282694048,0.20398903023631076,0.9766055628673308,0.9532111257346616,1.0186024974193835,25.766978584440853,-0.06841900151455738,-0.7620501147275627,0.571108340115214,12.905042262440835,-0.027255409118618977,-0.8429165820912022,-0.6425154389642358,-3.9254829118261183
FF5_baseline,size_bm,3,1,11,0.016674444825617186,1.3729416562543397,0.16977048519282567,0.9009307147965778,0.8018614295931557,1.1046234138821023,15.396562155107397,0.3336335136711702,1.0314617839642375,-0.8015238145813992,-2.9532920692884503,0.34667273275281224,2.0044724763327677,-0.2318107638226925,-0.3711381748962943
FF5_baseline,size_bm,3,2,11,-0.0075550333171602434,-0.4694941372245266,0.6387164745061588,0.9289889235661064,0.8579778471322128,1.0109768498000617,8.19906435291635,-0.16836967591147356,-3.827217371083238,-0.21990681017665267,-1.256199577002587,-0.03894471745107124,-0.34540169344754074,0.019365972264659526,0.061336048582907664
FF5_baseline,size_bm,3,3,11,-0.011494764371500679,-3.056373684732308,0.0022403185371444867,0.9073142093651068,0.8146284187302135,1.053065845908053,19.262432932263,-0.020997055032314665,-0.12640893985161689,-0.21287484582614222,-1.3592593562078519,-0.09532938655136684,-1.4686085897306425,0.18412415657760967,0.722500555455889
FF5_baseline,size_bm,3,4,11,-0.018697544758254598,-1.5162718956688765,0.1294506150392632,0.9078580044014072,0.8157160088028144,0.9593666306917794,9.710308816022184,-0.29555476544229,-2.4180765688834276,0.06479696704987653,0.4731015656101534,0.0029604937177266505,0.035998199328059366,-0.8609667947720531,-4.733765881913694
FF5_baseline,size_bm,3,5,11,-0.010160216161394632,-3.678176705783271,0.00023490719884480842,0.9665184973572254,0.9330369947144508,0.8741304545719449,17.775893717331304,-0.005846161472996436,-0.06941056314534226,0.32203118318900387,7.994966938293593,0.17250999145038365,4.549694349823014,0.06943887629821421,0.37892260233526087
FF5_baseline,size_bm,4,1,11,-0.00023748674779841203,-0.023078973207546524,0.9815872781686612,0.9526920721545881,0.9053841443091761,1.0309646072217304,13.295422813231646,-0.14178092881379578,-1.6892745254532913,-0.7746772633487661,-7.871590836111126,0.2859285505466594,4.343783748227742,0.35838724416058065,1.9178521748767643
FF5_baseline,size_bm,4,2,11,0.020787203765672328,26.78597525421155,4.707470967932715e-158,0.9990307923349536,0.9980615846699072,1.1057312134746276,163.72124148223972,-0.4400637911536901,-16.645154494610743,-0.21315879847192173,-9.854874301604273,-0.13853671129265566,-12.13729464035401,-1.120519899993246,-27.819675952572887
FF5_baseline,size_bm,4,3,11,-0.01579126203848924,-6.663783416555096,2.6686666022533503e-11,0.9805541672019215,0.9611083344038429,0.9674983869407878,38.72988559706562,-0.7228764412256402,-12.282770783003732,-0.15829895264928792,-3.1529733469071997,-0.2512953714180316,-7.947339454250129,-0.5487223031420309,-6.500899312484562
FF5_baseline,size_bm,4,4,11,0.013333194083159614,2.166079382202126,0.030305121427194714,0.9874356837138265,0.974871367427653,1.2024252829193482,20.525882000555818,-0.7799203549198531,-26.337110154708164,0.25832489951311144,4.426736967016734,-0.042643605855516825,-1.3147009963564347,-0.3848344712134325,-3.757290321596415
FF5_baseline,size_bm,4,5,11,-0.022498445192610537,-4.399835009134632,1.0833321363466335e-05,0.9063006300959611,0.8126012601919221,0.726797213679705,17.81153541663055,-0.5463990241511889,-6.730438755090454,0.5692979197398388,7.404088487856188,-0.0002642367142710045,-0.005792573996042257,-1.5790618904091565,-15.060550504039327
FF5_baseline,size_bm,5,1,11,-0.011001468880333667,-2.107197842950645,0.03510043384023555,0.95966890826784,0.91933781653568,0.5509538508046249,17.298178087641933,-0.5023113760641295,-10.58583290389888,-0.8556147805426395,-10.390580080789077,0.02928572665598625,0.5004884847840148,-0.19019654502245006,-1.1527855828464824
FF5_baseline,size_bm,5,2,11,-0.009935295593315407,-0.7896045052648879,0.42975877632241255,0.9573624084519609,0.9147248169039217,0.7293428882270903,7.38841327254466,-1.049567620960673,-27.43845355033539,-0.2487997634089134,-1.999259578300762,-0.08515815877986274,-1.1332725078053778,-1.4893378560090336,-7.086416636779389
FF5_baseline,size_bm,5,3,11,0.01926499865338445,3.93382316954192,8.360530058275324e-05,0.8115147652504908,0.6230295305009816,0.9029748955939606,24.264226463741355,-0.6333361837157581,-6.936959037496697,0.4170712531053634,3.4376738435879153,-0.20381981867716634,-2.737524946991588,-0.6493189968787833,-4.266373061529876
FF5_baseline,size_bm,5,4,11,-0.004122925608171568,-0.17104906215972637,0.8641851879868687,0.40824246303544354,-0.18351507392911293,0.439983203470637,1.7305819042034494,-0.3771794769288207,-0.7278087966764603,0.5298386980919774,2.0476124216851566,-0.13498966827095896,-0.840766506337101,-1.8499943796564269,-2.7911490749323504
FF5_baseline,size_bm,5,5,11,0.007353923754733011,0.6531861852321807,0.5136362552755671,0.6123141292203058,0.22462825844061163,0.6473036868190248,5.620903974086916,-0.6148598388302629,-1.470085054451327,0.3300824664359978,1.729759034187242,-0.11727756079765041,-1.0760539942989604,-0.5240652165450479,-0.9838471784071041
FF5_baseline,size_inv,1,1,11,-0.009965488312892495,-0.3514823766316909,0.7252264915619786,0.8199093377551729,0.6398186755103459,1.120669060214277,6.123883896461892,0.8505973156353368,6.404046036290624,0.5814233593094764,2.2672665551143076,0.3037661215102908,1.7430075725209244,1.8125916423574777,3.035438167523787
FF5_baseline,size_inv,1,2,11,0.013275509164686039,1.9192191650181663,0.05495660307258538,0.9525606994783506,0.9051213989567013,1.2503494671037765,22.436752681790658,0.9567941536923612,4.6141407944650865,0.5832996684961879,7.068769244990677,0.27992747977749965,5.371044982305399,1.2104569118612272,3.865622199603786
FF5_baseline,size_inv,1,3,11,0.0056605585448788204,3.264439790992092,0.0010968077155655432,0.989215237565535,0.97843047513107,1.2097989527712507,72.28257123723331,0.982542154809456,18.215323741195032,0.5370140428250353,13.389768062461707,0.09118093801267235,4.1435782684302795,1.4910198928484277,18.02282191054029
FF5_baseline,size_inv,1,4,11,0.0004108228505624173,0.02694157389530923,0.9785063343671355,0.908198086746729,0.8163961734934579,1.193620159424846,8.552960932665053,1.146693462850343,4.190043142660749,0.376437984524189,2.0381737646935605,-0.08584757996728729,-0.8435836000534241,0.39684014789996214,1.7375278635479465
FF5_baseline,size_inv,1,5,11,-0.008453630066718724,-1.2413106180236013,0.2144910237184371,0.9617892247772984,0.9235784495545969,1.0938286718325876,13.200894586281914,0.6021858064738341,5.553406289630329,0.159421895159975,2.3521837672655277,0.28691192241349933,6.476801041006807,0.5610245264039706,2.556236611431875
FF5_baseline,size_inv,2,1,11,0.01122754013604763,1.580761617362269,0.11393255370562824,0.9774993034236252,0.9549986068472505,1.0877626465795762,20.509917828585223,0.4480126297611885,10.590157621603174,0.28123585751683683,2.6747506611311644,-0.20766419365009864,-3.1574759148583005,0.47343202537034634,2.643522720840727
FF5_baseline,size_inv,2,2,11,0.00847838004209924,0.4142784693785109,0.6786701800356026,0.919902841029405,0.83980568205881,1.1976860738482773,8.412797705496361,0.3910885183276995,4.3588673790927075,0.15257889541548503,0.8092074965403923,-0.30520472452893144,-2.488432652167288,-0.14079582403848157,-0.4513975848369646
FF5_baseline,size_inv,2,3,11,0.031832078430584276,3.5041597169509178,0.00045805054807708485,0.957805553512052,0.915611107024104,1.306600644391045,24.190926610597035,-0.2364321956792096,-2.764252810174232,0.7221905999641235,11.25145383950978,0.16503078292408288,3.6089331754534166,-0.6413241718822155,-3.9629977527901534
FF5_baseline,size_inv,2,4,11,-0.017578560130218086,-1.685498894973521,0.09189235783400652,0.8655205048529704,0.7310410097059408,0.8366822219382859,6.616385108414805,0.3526593236289049,2.3543941895198928,-0.2724648485266024,-1.6242866935531624,-0.15086066646412205,-1.4378462131186198,-1.1498752664280059,-2.928251302863097
FF5_baseline,size_inv,2,5,11,-0.0040286590497607706,-0.5466302422219478,0.5846327877865665,0.9286083190893781,0.8572166381787563,1.2055929841562871,10.417189172814869,0.4043463702123172,1.9099699928417468,0.18588702128996976,2.038091462432026,0.029645355850267938,0.34418368316263137,-0.43346661223492966,-0.9569932343000316
FF5_baseline,size_inv,3,1,11,0.028148307339665203,1.3004046583970201,0.19346231416882953,0.9221511481465453,0.8443022962930906,1.1744520630195239,7.821217236046446,-0.401108343416023,-3.683105828617954,0.06960063521604232,0.37508475473957337,0.0812549334017508,0.7002623626539217,-2.062281117500272,-5.0811831853559495
FF5_baseline,size_inv,3,2,11,-0.0015541329749117648,-0.08389581676829984,0.9331392655717131,0.8962380392726335,0.7924760785452669,0.94918437634226,6.635118958650874,-0.06205481848002864,-0.5265194312798033,-0.19083946729877732,-0.8507325123469422,0.18264229532682372,1.3768052883719888,0.1269353044965883,0.30976436904874705
FF5_baseline,size_inv,3,3,11,-0.04243224469216871,-4.0042338688117285,6.22187898016492e-05,0.9063100133174616,0.8126200266349233,0.7458294231261257,7.24807435525781,-0.0022111853692393657,-0.009235535036024346,-0.7562078362281285,-5.2335061378887735,0.19607494697375472,2.6099722350043533,1.2050693914566115,5.9270417820986285
FF5_baseline,size_inv,3,4,11,0.006297426822994794,1.3462030946235037,0.1782370273354288,0.9499904524766255,0.899980904953251,1.1837365278678458,28.420674501335604,0.1274248808186071,1.1972562924037702,0.09422197241104774,1.01762479323682,0.03807221239251085,0.7090954657419919,-0.36408844670340046,-2.9466593718039116
FF5_baseline,size_inv,3,5,11,0.001855148068576889,0.1731304108433216,0.8625489214861575,0.9196109703070157,0.8392219406140313,1.0957830997380116,18.587691050874042,-0.365853644020218,-4.86031054480011,0.39906979885499355,2.83315337320911,-0.03196928491007878,-0.3293394010918218,-1.143706803017278,-3.9159318738010356
FF5_baseline,size_inv,4,1,11,0.0037014278760014547,0.23144905789295236,0.8169659569013679,0.8748433933923427,0.7496867867846855,1.1667672533246898,9.077132261297098,-1.0882670748497671,-6.925049966452097,-0.013991281712711884,-0.07162695040997581,-0.1700258670943675,-1.2971746290580202,0.5330908223167132,1.7412914679214446
FF5_baseline,size_inv,4,2,11,-0.022260094645423837,-7.603073209204215,2.89179786980348e-14,0.9898468927026798,0.9796937854053596,0.8962213814787979,24.422596307638024,-0.5327517342626964,-8.241829766486694,-0.3067908260746287,-8.723097594434947,-0.13345566922291713,-6.132465354283456,-0.14446030805659493,-1.079197126038015
FF5_baseline,size_inv,4,3,11,-0.009714114476356443,-0.4773836540176991,0.6330889517853291,0.8958042136586672,0.7916084273173345,0.9459424148200855,8.375857024249951,-0.6096058532548191,-2.8287432495850693,-0.5842916788932503,-2.6448898675120445,0.07656638045953522,0.4922758628826055,-0.8996646190949809,-1.5090209723982078
FF5_baseline,size_inv,4,4,11,-0.002569527104904104,-0.20504935779371203,0.8375335622757262,0.8619900092990234,0.7239800185980467,0.8582076210028318,9.92082567962879,-0.7215392199459773,-7.43529644821429,-0.16923608287204434,-1.0191856636652867,0.11651693133991073,1.0834876217653815,-1.0675626401115164,-4.458442300438065
FF5_baseline,size_inv,4,5,11,0.00019975982886467295,0.034255053173893706,0.9726737661874876,0.9648401478732948,0.9296802957465895,1.119598707850804,26.46987031288865,-0.22802655562049573,-1.1755023290789435,-0.1328527061028906,-1.3051524142086837,-0.12472651822025989,-2.1521296189093246,-0.26147810005981964,-0.938828504037339
FF5_baseline,size_inv,5,1,11,0.007480225591609706,0.7195788313079109,0.4717843494977414,0.8949993856451605,0.7899987712903209,0.9387805930289183,9.546565187878782,-0.7086102668030592,-2.0013285667596272,-0.3828339148560732,-2.126154673078282,0.6612141756802536,6.105601037063711,0.7494255596686342,1.3456610636863715
FF5_baseline,size_inv,5,2,11,0.016737397174453748,1.9666218166728746,0.049226826388614524,0.8656379790235486,0.7312759580470971,0.7266154654845813,7.0279716903048985,-1.0160393482929726,-4.09129689960586,0.176541796373703,1.1045839609022075,-0.25342574153385466,-5.270425242409301,-0.08555971522327,-0.2689825645324596
FF5_baseline,size_inv,5,3,11,0.021181236927110016,0.6556028543072416,0.5120796885308847,0.8215115179682925,0.6430230359365849,0.8341554389776505,3.152744574233167,-0.651255572034953,-4.598583104617369,-0.24145074670816707,-0.7386504731776621,-0.3816599028425162,-1.9627698867637016,-2.3048536922408496,-4.795428051886341
FF5_baseline,size_inv,5,4,11,0.01068758244294427,1.829029302371865,0.06739521868125846,0.8637757613936297,0.7275515227872593,0.6882242675992416,14.618132102496457,-0.9635327792131951,-11.670654403925953,0.017063255006571923,0.1525655538791858,-0.05834574910152771,-0.7047654345570104,-1.1083272938508495,-4.635867946533989
FF5_baseline,size_inv,5,5,11,0.012552912990471702,1.0267947762919956,0.30451710963263334,0.9272404336804271,0.8544808673608542,0.8793661238116012,7.569944692902299,-0.4073727106186858,-3.2928234428443774,-0.41236300037553664,-3.4288005148205376,0.059178551846563204,1.009526054422329,-0.7014247687347757,-2.713562879418189
FF5_baseline,size_op,1,1,5,,,,,,,,,,,,,,,
FF5_baseline,size_op,1,2,2,,,,,,,,,,,,,,,
FF5_baseline,size_op,1,3,0,,,,,,,,,,,,,,,
FF5_baseline,size_op,1,4,3,,,,,,,,,,,,,,,
FF5_baseline,size_op,1,5,0,,,,,,,,,,,,,,,
FF5_baseline,size_op,2,1,5,,,,,,,,,,,,,,,
FF5_baseline,size_op,2,2,6,,,,,,,,,,,,,,,
FF5_baseline,size_op,2,3,3,,,,,,,,,,,,,,,
FF5_baseline,size_op,2,4,4,,,,,,,,,,,,,,,
FF5_baseline,size_op,2,5,0,,,,,,,,,,,,,,,
FF5_baseline,size_op,3,1,5,,,,,,,,,,,,,,,
FF5_baseline,size_op,3,2,10,0.04375617969016417,1.532673382506641,0.12535635064757825,0.6138983750285851,0.1312713438143165,1.1728744720480881,3.2730402763674986,0.6127616661710326,1.0879581771043818,0.131630961183119,0.3427671674889988,0.13268164628272724,0.8359984423030069,0.45264672633021363,0.39239768665394664
FF5_baseline,size_op,3,3,11,0.038147346361731865,1.3331755723258547,0.18247419368376516,0.7850218286072127,0.5700436572144254,1.7171928507983623,5.180975425327223,-0.18829257803173638,-0.6472097442599669,0.409746245697501,1.0448259359739385,-0.11072876759400274,-0.4692466282306758,-1.572773383955361,-3.7190499396795085
FF5_baseline,size_op,3,4,8,-0.05025801869468645,-6.722121234802725,1.7909783530383873e-11,0.8259124084543594,0.390693429590258,0.5778754331388227,7.144866058008952,0.3719032660350938,1.7037214823963032,-0.3343249341150999,-1.9230384945839742,0.23029906906883937,2.319485782977837,-0.46522630601471815,-1.6307330736949308
FF5_baseline,size_op,3,5,3,,,,,,,,,,,,,,,
FF5_baseline,size_op,4,1,4,,,,,,,,,,,,,,,
FF5_baseline,size_op,4,2,3,,,,,,,,,,,,,,,
FF5_baseline,size_op,4,3,10,-0.08657158822448947,-9.398773321387402,5.520287523093953e-21,0.7965114773098197,0.5421508239470945,0.15908452902209225,1.691411748920858,-1.4507827148693506,-4.272097895605662,-0.8845841667346488,-4.9367066377880855,-0.1215852227312012,-1.570690131587134,-0.35149301375165853,-0.6144765928157145
FF5_baseline,size_op,4,4,7,,,,,,,,,,,,,,,
FF5_baseline,size_op,4,5,7,,,,,,,,,,,,,,,
FF5_baseline,size_op,5,1,4,,,,,,,,,,,,,,,
FF5_baseline,size_op,5,2,3,,,,,,,,,,,,,,,
FF5_baseline,size_op,5,3,0,,,,,,,,,,,,,,,
FF5_baseline,size_op,5,4,0,,,,,,,,,,,,,,,
FF5_baseline,size_op,5,5,9,-0.03250079923891372,-4.3971060490672045,1.0970375226517716e-05,0.8525220207296359,0.6067253886123625,0.7822460043722789,7.136245869576634,0.24833445935002435,1.6181990520275689,-0.848193070381356,-5.2348073981698064,0.17489952186169866,3.6832718971868563,2.9874298298506656,2.6441727316315333
